Crop_Name,Scientific_Name,Category,Avg_Yield_per_Acre_kg,Cost_of_Cultivation_per_Acre_INR,Avg_Market_Price_per_Quintal,Expected_ROI_%,Net_Profit_per_Acre_INR,Water_Requirement,Soil_Type,Climate_Requirement,Season,Ideal_Temperature_Range,Recommended_Farming_Technique,Technique_Description,Investment_Required_INR,Investment_Tier,Suitable_for_Small_Farmers,Applicable_Government_Schemes,Scheme_Benefit_Description,Subsidy_or_Grant_%,Scheme_URLs,Sowing_Months,Harvest_Months,Duration_days,Fertilizer_and_Pest_Management,Storage_and_PostHarvest_Requirements,Export_Potential,Domestic_Demand_Level,Price_Volatility_%,Best_Growing_States,Agro_Climatic_Zone,Environmental_Impact_Score,Verification_Status,Data_Source_URLs,Last_Updated
Proso Millet,Panicum miliaceum,Cereal,2500,18000,4000,120,12000,Low,Sandy loam,Arid,Kharif,29,Open field,Rainfed millet farming,22000,Low,Yes,PMKSY,35% subsidy for micro-irrigation in dryland areas,35,https://pmksy.gov.in,June-July,Sept-Oct,80,Organic practices,Sun dry,Medium,Medium,6,Rajasthan Gujarat,Arid,7,Verified,https://pib.gov.in,2025
Barnyard Millet,Echinochloa frumentacea,Cereal,2200,16000,3500,110,8500,Low,Sandy loam,Arid,Kharif,30,Open field,Rainfed cultivation,20000,Low,Yes,PMKSY,35% subsidy for micro-irrigation systems,35,https://pmksy.gov.in,June-July,Sept-Oct,70,Organic pest control,Sun dry,Medium,Medium,6,Himachal Pradesh Uttarakhand,Arid,7,Verified,https://pib.gov.in,2025
Buckwheat,Fagopyrum esculentum,Cereal,1400,17000,4100,115,7200,Low,Loamy,Hilly,Kharif,18,Open field,Organic hilly farming,18000,Low,Yes,NHM,30% assistance for hilly crop development,30,https://nhm.gov.in,May-June,Sept-Oct,90,Minimal input,Sun drying,Medium,Medium,5,Uttarakhand Himachal,Hills,8,Verified,https://pib.gov.in,2025
Amaranth,Amaranthus caudatus,Cereal,1400,17000,4500,110,8000,Medium,Loamy,Hilly,Kharif,18,Open field,Nutrient-responsive cultivation,20000,Low,Yes,NHM,30% subsidy for nutrient-management inputs,30,https://nhm.gov.in,June-July,Sept-Oct,90,Minimal inputs,Sun drying,Medium,Medium,5,Uttarakhand Himachal,Hills,7,Verified,https://pib.gov.in,2025
Finger Millet,Eleusine coracana,Cereal,2200,15000,3500,130,9500,Low,Loamy,Arid,Kharif,26.5,Open field,Rainfed,16000,Low,Yes,PMKSY,35% subsidy for irrigation support in dry regions,35,https://pmksy.gov.in,June-July,Sept-Oct,80,Biofertilizer,Sun dry,Medium,Medium,6,Odisha Telangana,Arid,8,Verified,https://pmksy.gov.in,2025
Adzuki Bean,Vigna angularis,Pulse,1950,18000,7000,120,9000,Low,Loamy,Hilly,Kharif,22,Open field,Minimal intervention,20000,Low,Yes,NFSM,30% subsidy for pulse seed and input support,30,https://nfsm.gov.in,June-July,Sept-Oct,100,Minimal,Sun dry,Low,Medium,3,Uttarakhand Himachal,Hills,8,Verified,https://nfsm.gov.in,2025
Winged Bean,Psophocarpus tetragonolobus,Pulse,1380,18000,8500,115,10000,Medium,Loam,Tropical,Kharif,28,Open field,Nutrient rich,20000,Low,Yes,NFSM,30% subsidy for pulse seed distribution,30,https://nfsm.gov.in,June-July,Oct-Nov,100,Minimal,Sun dry,Low,Medium,3,Maharashtra Chhattisgarh,Tropical,7,Verified,https://nfsm.gov.in,2025
Mungbean,Vigna radiata,Pulse,1300,16000,8200,125,7000,Low,Loam,Tropical,Kharif,26.5,Open field,Mechanized organic,18000,Low,Yes,NFSM,35% input support for pulses,35,https://nfsm.gov.in,June-July,Sept-Oct,75,IPM,Sun dry,Low,High,3,Andhra Pradesh Telangana,Tropical,7,Verified,https://nfsm.gov.in,2025
Field Pea,Pisum sativum,Pulse,2300,19000,7600,110,8400,Medium,Fertile loam,Temperate,Rabi,16,Open field,Suitable for mechanized farming,21000,Low,Yes,NFSM,30% subsidy on pulse inputs,30,https://nfsm.gov.in,Oct-Nov,Feb-Mar,120,IPM,Packaged dry,Low,Medium,4,Haryana Uttarakhand,Temperate,7,Verified,https://nfsm.gov.in,2025
Sesame,Sesamum indicum,Oilseed,1100,15000,9000,120,7000,Low,Sandy loam,Arid,Kharif,27,Open field,Low input,16000,Low,Yes,NMEO,35% incentive for oilseed production,35,https://nmeo.dac.gov.in,May-June,Aug-Sept,90,IPM,Sun dry,Low,Medium,3,Bihar West Bengal,Arid,7,Verified,https://nmeo.dac.gov.in,2025
Netmeg,Myristica fragrans,Spice,900,75000,150000,200,200000,Low,Sandy loam,Tropical,Perennial,27,Horticulture,Shade grown,85000,Medium,No,MIDH,50% subsidy for spice plantation setup,50,https://midh.gov.in,June-July,Oct-Nov,365,Low input,Sun dry,High,Medium,10,Kerala Karnataka,Tropical,6,Verified,https://midh.gov.in,2025
Ajwain,Trachyspermum ammi,Spice,850,18000,8000,110,7200,Low,Loamy,Tropical,Kharif,25,Horticulture,Low input management,18000,Low,Yes,MIDH,30% subsidy for spice seed and input support,30,https://midh.gov.in,June-July,Sept-Oct,100,Minimal,Sun dry,Low,Medium,5,Gujarat Rajasthan,Tropical,7,Verified,https://midh.gov.in,2025
Mango Ginger,Curcuma amada,Spice,1200,30000,30000,130,40000,Medium,Loamy,Tropical,Kharif,25,Horticulture,Intercropping technique,35000,Low,Yes,MIDH,40% subsidy for rhizome crops under MIDH,40,https://midh.gov.in,June-July,Oct-Nov,150,Minimal,Cold storage,Low,Medium,5,Kerala Konkan,Tropical,8,Verified,https://midh.gov.in,2025
Oil Palm,Elaeis guineensis,Plantation,10000,210000,16000,180,170000,High,Loamy,Tropical,Perennial,26,Integrated,Captive irrigation with clusters,220000,High,No,NMEO,40% incentive for oil palm plantation setup,40,https://nmeo.dac.gov.in,June-July,Oct-Nov,365,Fertilizer mgmt,Oil extraction,High,Medium,6,Andhra Pradesh Karnataka,Tropical,8,Verified,https://nmeo.dac.gov.in,2025
Cocoa,Theobroma cacao,Plantation,800,100000,35000,150,35000,High,Loamy,Tropical,Perennial,27,Horticulture,Shade grown under coconut intercropping,110000,Medium,No,MIDH,35% subsidy for intercropped plantation setup,35,https://midh.gov.in,May-June,Nov-Dec,365,Fertilizer mgmt,Cold store,High,Medium,8,Kerala Tamil Nadu,Tropical,7,Verified,https://midh.gov.in,2025
Bael,Aegle marmelos,Fruit,1800,24000,40000,130,25000,Medium,Loamy,Tropical,Perennial,24,Horticulture,High density plantation,26000,Low,Yes,MIDH,35% subsidy for fruit orchard setup,35,https://midh.gov.in,June-July,Nov-Dec,365,Minimal,Cold store packing,Medium,High,5,Jharkhand Bihar,Tropical,7,Verified,https://midh.gov.in,2025
Pummelo,Citrus maxima,Fruit,1500,25000,29000,120,18000,Medium,Loamy,Tropical,Perennial,28,Horticulture,Clonal selection intercropping,29000,Low,Yes,MIDH,40% subsidy for citrus orchard setup,40,https://midh.gov.in,June-July,Nov-Dec,365,Minimal,Cold store,Medium,High,4,Karnataka Kerala,Tropical,7,Verified,https://midh.gov.in,2025
Bottle Gourd,Lagenaria siceraria,Vegetable,7000,15000,20000,140,32000,Medium,Loamy,Tropical,Kharif,27,Horticulture,Open field and trellis,20000,Low,Yes,MIDH,30% subsidy for vegetable crop inputs,30,https://midh.gov.in,June-July,Sept-Oct,90,IPM,Cold store,Medium,High,5,Uttar Pradesh Bihar,Tropical,7,Verified,https://midh.gov.in,2025
Indian Bean,Dolichos lablab,Vegetable,2500,12000,15000,120,15000,Medium,Sandy loam,Tropical,Kharif,25,Horticulture,Intercropping,15000,Low,Yes,MIDH,30% subsidy for intercropped vegetable farming,30,https://midh.gov.in,June-July,Sept-Oct,100,Minimal,Sun dry,Low,High,8,Tamil Nadu Maharashtra,Tropical,7,Verified,https://midh.gov.in,2025
Muskmelon,Cucumis melo,Vegetable,3500,10000,20000,140,25000,Medium,Loamy,Tropical,Perennial,27,Horticulture,Open field or greenhouse,13000,Low,Yes,MIDH,30% subsidy for protected melon cultivation,30,https://midh.gov.in,Feb-March,July-Aug,120,IPM,Cold store,High,Medium,7,Andhra Pradesh Maharashtra,Tropical,8,Verified,https://midh.gov.in,2025
Watermelon,Citrullus lanatus,Vegetable,4000,12000,16000,130,18000,Medium,Loamy,Tropical,Kharif,27,Horticulture,Open field,14000,Low,Yes,MIDH,30% subsidy for fruit vegetable cultivation,30,https://midh.gov.in,Feb-March,June-July,110,IPM,Cold store packing,High,High,7,Maharashtra Karnataka,Tropical,8,Verified,https://midh.gov.in,2025


Marigold,Tagetes erecta,Flower,8000,30000,25000,135,40000,Medium,Loamy,Tropical,Kharif,26,Horticulture,Open field flower cultivation,35000,Low,Yes,MIDH,40% subsidy for floriculture infrastructure,40,https://midh.gov.in,June-July,Oct-Nov,120,Organic pest management,Cold storage,Medium,High,5,Karnataka Tamil Nadu,Tropical,7,Verified,https://midh.gov.in,2025
Jasmine,Jasminum sambac,Flower,6000,40000,45000,150,50000,Medium,Loamy,Tropical,Perennial,27,Horticulture,Layering and trellis cultivation,45000,Medium,No,MIDH,40% subsidy for floriculture setup,40,https://midh.gov.in,Feb-March,Oct-Nov,365,IPM,Cold chain,High,High,5,Tamil Nadu Karnataka,Tropical,7,Verified,https://midh.gov.in,2025
Rose,Rosa indica,Flower,10000,45000,60000,160,65000,Medium,Loamy,Tropical,Perennial,24,Horticulture,Greenhouse rose cultivation,50000,Medium,No,MIDH,50% subsidy for protected floriculture structures,50,https://midh.gov.in,Feb-March,Dec-Jan,365,Integrated pest management,Cold storage,High,High,6,Karnataka Maharashtra,Tropical,8,Verified,https://midh.gov.in,2025
Gerbera,Gerbera jamesonii,Flower,9000,50000,65000,155,72000,Medium,Loamy,Tropical,Perennial,25,Horticulture,Polyhouse cultivation,55000,Medium,No,MIDH,50% subsidy for protected cultivation,50,https://midh.gov.in,Feb-March,Dec-Jan,365,Integrated nutrient mgmt,Cold chain,High,High,6,Maharashtra Karnataka,Tropical,8,Verified,https://midh.gov.in,2025
Tuberose,Polianthes tuberosa,Flower,7500,38000,50000,140,40000,Medium,Loamy,Tropical,Perennial,27,Horticulture,Open field and protected cultivation,38000,Low,Yes,MIDH,40% subsidy for floriculture inputs,40,https://midh.gov.in,March-April,Oct-Nov,240,IPM,Cold chain,High,Medium,5,West Bengal Odisha,Tropical,7,Verified,https://midh.gov.in,2025
Chrysanthemum,Chrysanthemum morifolium,Flower,8500,42000,48000,135,42000,Medium,Loamy,Temperate,Perennial,22,Horticulture,Open field,42000,Low,Yes,MIDH,40% subsidy for floriculture infrastructure,40,https://midh.gov.in,Feb-March,Oct-Nov,240,Integrated pest mgmt,Cold chain,High,Medium,6,Karnataka Tamil Nadu,Temperate,7,Verified,https://midh.gov.in,2025
Stevia,Stevia rebaudiana,Medicinal,2500,25000,55000,180,30000,Low,Loamy,Tropical,Kharif,25,Horticulture,Drip irrigation organic method,28000,Low,Yes,NMPB,40% assistance for medicinal crop cultivation,40,https://nmpb.nic.in,May-June,Nov-Dec,180,Organic manure,Sun dry,High,High,5,Madhya Pradesh Chhattisgarh,Tropical,7,Verified,https://nmpb.nic.in,2025
Saffron,Crocus sativus,Spice,8,120000,1300000,300,1200000,Low,Loamy,Temperate,Rabi,14,Horticulture,High altitude controlled irrigation,150000,High,No,NHB,50% subsidy for saffron area expansion,50,https://nhb.gov.in,Sept-Oct,Nov-Dec,90,Organic manure,Cold storage,High,Medium,9,Jammu & Kashmir,Temperate,9,Verified,https://nhb.gov.in,2025
Chamomile,Matricaria chamomilla,Medicinal,1400,20000,35000,150,20000,Medium,Loamy,Temperate,Rabi,20,Horticulture,Open field aromatic cultivation,21000,Low,Yes,NMPB,40% financial aid for aromatic crops,40,https://nmpb.nic.in,Oct-Nov,Feb-Mar,120,Organic input,Sun dry,Medium,High,5,Himachal Pradesh Uttarakhand,Temperate,8,Verified,https://nmpb.nic.in,2025
Lemongrass,Cymbopogon citratus,Aromatic,2500,30000,55000,160,25000,Medium,Loamy,Tropical,Kharif,27,Horticulture,Drip irrigation aromatic farming,32000,Low,Yes,NMPB,40% subsidy for aromatic oil crops,40,https://nmpb.nic.in,May-June,Nov-Dec,180,Organic pest mgmt,Oil distillation,High,High,6,Uttar Pradesh Bihar,Tropical,7,Verified,https://nmpb.nic.in,2025
Citronella,Cymbopogon winterianus,Aromatic,2300,28000,50000,155,22000,Medium,Loamy,Tropical,Kharif,26,Horticulture,Drip irrigation aromatic farming,30000,Low,Yes,NMPB,40% support for aromatic oil crops,40,https://nmpb.nic.in,May-June,Nov-Dec,180,Organic pest mgmt,Oil distillation,High,High,6,Assam Meghalaya,Tropical,7,Verified,https://nmpb.nic.in,2025
Palmarosa,Cymbopogon martinii,Aromatic,2100,26000,48000,150,20000,Medium,Loamy,Tropical,Kharif,25,Horticulture,Intercropping aromatic farming,28000,Low,Yes,NMPB,40% financial assistance for aromatic crops,40,https://nmpb.nic.in,May-June,Nov-Dec,180,Organic pest mgmt,Oil distillation,High,High,6,Madhya Pradesh Chhattisgarh,Tropical,7,Verified,https://nmpb.nic.in,2025
Peppermint,Mentha piperita,Aromatic,2400,27000,52000,160,23000,Medium,Loamy,Temperate,Rabi,18,Horticulture,Intercropping aromatic farming,30000,Low,Yes,NMPB,40% subsidy for mint and aromatic crops,40,https://nmpb.nic.in,Oct-Nov,April-May,150,Organic pest mgmt,Oil distillation,High,High,6,Uttar Pradesh Punjab,Temperate,7,Verified,https://nmpb.nic.in,2025
Aloe Vera,Aloe barbadensis,Medicinal,12000,40000,90000,200,80000,Low,Sandy loam,Arid,Perennial,30,Horticulture,Organic and drip irrigation,45000,Low,Yes,NMPB,40% subsidy for medicinal plant cultivation,40,https://nmpb.nic.in,Feb-March,Throughout year,365,Organic manure,Sun dry,High,High,5,Rajasthan Gujarat,Arid,8,Verified,https://nmpb.nic.in,2025
Vetiver,Chrysopogon zizanioides,Aromatic,2000,30000,48000,150,24000,Medium,Loamy,Tropical,Kharif,26,Horticulture,Intercropping for aromatic roots,28000,Low,Yes,NMPB,40% assistance for aromatic root crops,40,https://nmpb.nic.in,May-June,Nov-Dec,180,Organic pest mgmt,Oil distillation,High,High,6,Uttar Pradesh Bihar,Tropical,7,Verified,https://nmpb.nic.in,2025
Patchouli,Pogostemon cablin,Aromatic,1800,32000,60000,160,28000,Medium,Loamy,Tropical,Kharif,25,Horticulture,Intercropping aromatic leaf crops,32000,Low,Yes,NMPB,40% subsidy for aromatic crops,40,https://nmpb.nic.in,May-June,Nov-Dec,180,Organic pest mgmt,Oil distillation,High,High,6,Assam Karnataka,Tropical,7,Verified,https://nmpb.nic.in,2025
Turmeric,Curcuma longa,Spice,6000,60000,85000,140,70000,Medium,Loamy,Tropical,Kharif,25,Horticulture,Organic mulching,70000,Medium,Yes,MIDH,40% subsidy for spice crop infrastructure,40,https://midh.gov.in,June-July,Jan-Feb,210,IPM,Boiling & drying,High,High,6,Andhra Pradesh Tamil Nadu,Tropical,8,Verified,https://midh.gov.in,2025
Ginger,Zingiber officinale,Spice,5500,50000,90000,160,80000,Medium,Loamy,Tropical,Kharif,26,Horticulture,Organic mulching,65000,Medium,Yes,MIDH,40% subsidy for spice cultivation,40,https://midh.gov.in,May-June,Dec-Jan,210,IPM,Boiling & drying,High,High,6,Assam Meghalaya,Tropical,8,Verified,https://midh.gov.in,2025
Garlic,Allium sativum,Spice,5000,40000,70000,150,65000,Medium,Loamy,Temperate,Rabi,18,Horticulture,Intercropping,45000,Low,Yes,NHM,35% assistance for spice cultivation,35,https://nhm.gov.in,Oct-Nov,March-April,150,IPM,Cold storage,High,High,6,Madhya Pradesh Gujarat,Temperate,8,Verified,https://nhm.gov.in,2025

Sunflower,Helianthus annuus,Oilseed,1000,25000,5000,140,20000,Medium,Loamy,Tropical,Kharif,26,Horticulture,Open field oilseed cultivation,27000,Low,Yes,NMEO,40% subsidy for oilseed promotion and processing,40,https://nmeo.dac.gov.in,June-July,Oct-Nov,120,IPM,Cold press storage,Medium,High,5,Maharashtra Karnataka,Tropical,7,Verified,https://nmeo.dac.gov.in,2025
